DATE,TYPES,CAT,QTE,QTE GRAT,CI,CV,PU,MT GRAT,QTE RED,TAUX RED,MT RED,PTTC
2024-01-05,TAXI,A,1,0,1,0,4900,0,1,0.081633,400.0017,4499.9983
2024-01-05,V.PERSONEL,B,1,0,1,0,17900,0,1,0.050279,899.9941,17000.0059
2024-01-05,PICK-UP,B1,0,0,0,0,15500,0,0,0.032258,0,0
2024-01-05,MINI-BUS,C,0,0,0,0,15500,0,0,0.052411,0,0
2024-01-05,GRAND-BUS,C,0,0,0,0,19080,0,0,0.032258,0,0
2024-01-05,CAMIONS,D,4,0,4,0,26235,0,0,0.047075,0,104940
2024-01-06,TAXI,A,0,0,0,0,4900,0,0,0.081633,0,0
2024-01-06,V.PERSONEL,B,1,0,1,0,17900,0,1,0.050279,899.9941,17000.0059
2024-01-06,PICK-UP,B1,0,0,0,0,15500,0,0,0.032258,0,0
2024-01-06,MINI-BUS,C,0,0,0,0,15500,0,0,0.052411,0,0
2024-01-06,GRAND-BUS,C,0,0,0,0,19080,0,0,0.032258,0,0
2024-01-06,CAMIONS,D,1,0,1,0,26235,0,1,0.047075,1235.012625,24999.987375
